iter	Passed	Remaining
400	19296	4764
401	19339	4714
402	19385	4666
403	19435	4618
404	19483	4570
405	19532	4522
406	19582	4474
407	19625	4425
408	19674	4377
409	19718	4328
410	19767	4280
411	19816	4232
412	19860	4183
413	19909	4135
414	19963	4088
415	20004	4039
416	20050	3990
417	20100	3943
418	20146	3894
419	20188	3845
420	20236	3797
421	20283	3749
422	20326	3700
423	20331	3644
424	20380	3596
425	20432	3549
426	20475	3500
427	20519	3451
428	20562	3403
429	20610	3355
430	20654	3306
431	20705	3259
432	20754	3211
433	20804	3163
434	20858	3116
435	20921	3070
436	20983	3025
437	21033	2977
438	21082	2929
439	21133	2881
440	21186	2834
441	21237	2786
442	21290	2739
443	21341	2691
444	21396	2644
445	21445	2596
446	21497	2548
447	21549	2501
448	21599	2453
449	21646	2405
450	21695	2357
451	21741	2308
452	21785	2260
453	21835	2212
454	21880	2164
455	21923	2115
456	21966	2066
457	22016	2018
458	22064	1970
459	22115	1923
460	22158	1874
461	22207	1826
462	22250	1778
463	22295	1729
464	22344	1681
465	22386	1633
466	22431	1585
467	22482	1537
468	22532	1489
469	22578	1441
470	22627	1393
471	22670	1344
472	22713	1296
473	22762	1248
474	22773	1198
475	22821	1150
476	22869	1102
477	22917	1054
478	22964	1006
479	23012	958
480	23023	909
481	23069	861
482	23119	813
483	23162	765
484	23210	717
485	23257	669
486	23305	622
487	23351	574
488	23404	526
489	23449	478
490	23497	430
491	23541	382
492	23591	334
493	23638	287
494	23685	239
495	23728	191
496	23770	143
497	23819	95
498	23877	47
499	23929	0
