iter	RMSE
0	0.7731230864
1	0.7486828194
2	0.7207690501
3	0.6941430657
4	0.6727957544
5	0.6499247834
6	0.6295929301
7	0.6078972238
8	0.5916049027
9	0.5770948045
10	0.5668415025
11	0.5504966946
12	0.5334258995
13	0.5190631401
14	0.502048642
15	0.4888944837
16	0.4814488877
17	0.4722310216
18	0.4656494392
19	0.4540132465
20	0.442237445
21	0.432756513
22	0.4232687212
23	0.4169525928
24	0.4079072662
25	0.4018599079
26	0.3957546019
27	0.3866770885
28	0.3797710966
29	0.3734782469
30	0.3686718267
31	0.3650951889
32	0.3574009156
33	0.3549282581
34	0.3504669328
35	0.3462616259
36	0.3420643206
37	0.340363349
38	0.3357258245
39	0.3308724314
40	0.3274693507
41	0.3230297487
42	0.3192747953
43	0.3170915873
44	0.3148898519
45	0.3142700786
46	0.3100252394
47	0.3079499386
48	0.3048397629
49	0.3020270848
50	0.299753601
51	0.2972295298
52	0.2931193159
53	0.2889603585
54	0.2841322903
55	0.2810429214
56	0.2777862389
57	0.2751521254
58	0.2712260601
59	0.2695532589
60	0.2651842175
61	0.2616935804
62	0.2581861652
63	0.2547110798
64	0.2531932968
65	0.2482346301
66	0.2465458199
67	0.2455357545
68	0.2447721834
69	0.2416516156
70	0.2382137449
71	0.2356609665
72	0.2341917898
73	0.2296051258
74	0.2285320366
75	0.2249539168
76	0.2220820173
77	0.2209865531
78	0.2188041651
79	0.2140972517
80	0.2092334166
81	0.2062216006
82	0.2034053452
83	0.2003251593
84	0.1990256989
85	0.1954923842
86	0.1947817713
87	0.1930821731
88	0.1915941558
89	0.1897001958
90	0.1872357565
91	0.1863767812
92	0.1844822307
93	0.1809472654
94	0.1785971743
95	0.1751592734
96	0.1714943945
97	0.1686530938
98	0.166146295
99	0.1657824813
100	0.162694513
101	0.160603997
102	0.1584076297
103	0.1548414089
104	0.1528463565
105	0.151483147
106	0.1498351056
107	0.1481285863
108	0.1461778821
109	0.1431795139
110	0.1412257894
111	0.1402805565
112	0.1379359227
113	0.1370951261
114	0.1347670841
115	0.1331875487
116	0.1316060912
117	0.1297713237
118	0.1279077646
119	0.1263200239
120	0.1257207104
121	0.1238469964
122	0.121507501
123	0.1205787037
124	0.1191851175
125	0.1188073191
126	0.1173224512
127	0.1156642885
128	0.1142363306
129	0.1121399005
130	0.110818652
131	0.1091919822
132	0.107931225
133	0.1077103843
134	0.1060209309
135	0.1055824945
136	0.1051204988
137	0.1032461076
