iter	RMSE
138	0.1026291762
139	0.1014402645
140	0.1011859993
141	0.09970016948
142	0.09843522478
143	0.09724779466
144	0.09667176601
145	0.09518135474
146	0.09445891043
147	0.09203560903
148	0.0912565547
149	0.09020657014
150	0.08897190466
151	0.08757347619
152	0.08734284853
153	0.0857193241
154	0.08397868716
155	0.08329635356
156	0.0823284738
157	0.08140410025
158	0.08105524552
159	0.08026279059
160	0.07943434828
161	0.07751120584
162	0.07649315236
163	0.07505446885
164	0.07442972806
165	0.07407668967
166	0.07330485575
167	0.0726205763
168	0.07192495517
169	0.07098145012
170	0.07036275403
171	0.06964724056
172	0.06832577639
173	0.06768081775
174	0.06655910868
175	0.06628058129
176	0.06585014107
177	0.06479726735
178	0.06379036336
179	0.06232959623
180	0.06130983519
181	0.06052247761
182	0.05996059856
183	0.05923780741
184	0.05870078188
185	0.05837847543
186	0.05795611884
187	0.05747165088
188	0.05725437495
189	0.05661392196
190	0.05645759377
191	0.05622449463
192	0.0553640123
193	0.05478574247
194	0.05436662381
195	0.05321761066
196	0.05257593308
197	0.05239808126
198	0.0514512529
199	0.05132615097
200	0.05104036673
201	0.05056454707
202	0.05027159972
203	0.04999820342
204	0.04977649555
205	0.04902517711
206	0.04868044272
207	0.04810925521
208	0.04717617841
209	0.04692804517
210	0.04654246923
211	0.04586626346
212	0.04531480084
213	0.04480010243
214	0.04424482875
215	0.04391181096
216	0.04361411062
217	0.04313800303
218	0.04277989073
219	0.04266247248
220	0.04256546547
221	0.04160778468
222	0.04100591076
223	0.04042642023
224	0.03983132802
225	0.03924334206
226	0.03847924683
227	0.03798904358
228	0.03770422381
229	0.03711468363
230	0.0366531906
231	0.03649914729
232	0.03602313225
233	0.03552976117
234	0.0348268285
235	0.03451773477
236	0.03388284313
237	0.03365221211
238	0.03354760207
239	0.03308242966
240	0.03272877926
241	0.03245771908
242	0.03199507566
243	0.03157506099
244	0.03141853086
245	0.03123772438
246	0.03109372688
247	0.03084651787
248	0.03047662199
249	0.03015985993
250	0.02957156035
251	0.0292736682
252	0.02893514345
253	0.02842479323
254	0.02829359646
255	0.0281487747
256	0.0277138067
257	0.02737500317
258	0.02683152546
259	0.02643980102
260	0.02595879585
261	0.02552434472
262	0.02515527247
263	0.02494297933
264	0.02453365928
265	0.02427282616
266	0.02380323267
267	0.02358382484
268	0.02335600462
269	0.02311523359
270	0.02279198901
271	0.02253065151
272	0.02211425651
273	0.02189631748
274	0.02186725005
275	0.02186096766
276	0.02158184399
277	0.02146941821
278	0.02122332511
279	0.02090497825
280	0.02059456551
281	0.0203745654
282	0.02012493333
283	0.01984813413
284	0.01956036563
285	0.01934773359
286	0.01929607878
287	0.01906044172
288	0.01882471555
289	0.01857610302
290	0.01831673004
291	0.01825471206
292	0.01823517045
293	0.01800305794
294	0.01768109263
295	0.01764597041
296	0.01757619719
297	0.01736547672
298	0.01724539613
299	0.01722898478
300	0.01687538326
301	0.01671610708
302	0.01657577747
303	0.01644426341
304	0.01628183292
305	0.01625253643
306	0.01621605572
307	0.01594837068
308	0.01593628366
309	0.01575283342
310	0.01554180838
311	0.01529330035
312	0.01527856547
313	0.01503893221
314	0.01486816496
315	0.01472191746
316	0.01458795533
317	0.01445984263
318	0.01434924945
319	0.01408888485
320	0.01395700747
321	0.01381907437
322	0.01371581202
323	0.01357664486
324	0.01350798516
325	0.01340296059
326	0.01328944671
327	0.01309526344
328	0.01293868573
329	0.01265159095
330	0.01260240858
331	0.01248564595
332	0.01246877239
333	0.01229655494
334	0.01226319442
335	0.01212896517
336	0.01193712944
337	0.01179655499
338	0.01177558515
339	0.01168822611
340	0.0115413419
341	0.01133191447
342	0.01130090709
343	0.01121743098
344	0.01109417858
345	0.01087283057
346	0.01070785789
347	0.01059283788
348	0.01057275532
349	0.01044540785
350	0.01034553528
351	0.01022379377
352	0.01019747858
353	0.01011789697
354	0.01001343706
355	0.00987017733
356	0.009814668662
357	0.00979842686
358	0.009742835516
359	0.009639212082
360	0.009576911545
361	0.009460351283
362	0.009373715854
363	0.009288036711
364	0.009182575679
365	0.009074253967
366	0.009015856342
367	0.008939025796
368	0.008795982654
369	0.008781562297
370	0.008689369146
371	0.008532785799
372	0.008428659567
373	0.008421562979
374	0.008336556453
375	0.008287014729
376	0.008170851347
377	0.008089032958
378	0.008066004944
379	0.008052437682
380	0.008006830637
381	0.007944875552
382	0.007927565504
383	0.007866631709
384	0.00776202856
385	0.007698397447
386	0.00762442085
387	0.00754914126
388	0.007492414322
389	0.00736404086
390	0.007353625413
391	0.007323987979
392	0.007302595957
393	0.007224007665
394	0.007098318409
395	0.007041878756
396	0.006905412912
397	0.006890067191
398	0.006865117403
399	0.006804934228
400	0.006686350561
401	0.006631658406
402	0.006554417173
403	0.006473402418
404	0.006424973771
405	0.006373073466
406	0.006298241773
407	0.006160311601
408	0.006133454657
409	0.006071398206
410	0.005937769328
411	0.005838467016
412	0.005772797986
413	0.00563508983
414	0.005591721356
415	0.005550696814
416	0.005542778435
417	0.005490092224
418	0.005432027035
419	0.005377143693
420	0.005319309239
421	0.005275277762
422	0.005209793414
423	0.005200324593
424	0.005171808733
425	0.005118364222
426	0.00511162406
427	0.005062941169
428	0.004986553627
429	0.004948099228
430	0.004898835269
431	0.004824324435
432	0.004816061148
433	0.004789944857
434	0.004741350346
435	0.004703591108
436	0.004610756417
437	0.004543904084
438	0.004532607828
439	0.004527058085
440	0.00447178689
441	0.004406806713
442	0.004347519619
443	0.004299268547
444	0.004292163804
445	0.004257408608
446	0.004228028134
447	0.004222721733
448	0.004178185143
449	0.004145573082
450	0.004118968687
451	0.004088731057
452	0.004034626266
453	0.003985843514
454	0.003935780361
455	0.003882893089
456	0.003845577136
457	0.003792880425
458	0.003747125587
459	0.003722123282
460	0.003683017074
461	0.003635095577
462	0.003586234712
463	0.003537765137
464	0.003486337976
465	0.003460639569
466	0.003450922303
467	0.003441208636
468	0.00338963857
469	0.003340456283
470	0.003314399217
471	0.003310919088
472	0.003270558747
473	0.003235298191
474	0.003210761891
475	0.003201302936
476	0.003170598952
477	0.003137121036
478	0.003114502413
479	0.003096668225
480	0.003076336468
481	0.003046576488
482	0.002994554173
483	0.002988025081
484	0.002948326745
485	0.002923872185
486	0.002903642282
487	0.002873392458
488	0.002850543102
489	0.002812155469
490	0.002781833306
491	0.002750182811
492	0.002720483547
493	0.002705547956
494	0.002677
495	0.002624592418
496	0.00260307323
497	0.002590937346
498	0.002576572117
499	0.002541957386
